Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Potosí - 115,41.531,46.869,20:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Potosí - 115,40.792,46.869,20:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Potosí - 115,40.223,46.869,20:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Potosí - 115,39.727,46.869,20:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Potosí - 115,39.051,46.869,20:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Potosí - 115,38.738,46.869,20:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Potosí - 115,37.696,46.869,20:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Potosí - 115,36.743,46.869,20:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Potosí - 115,36.985,46.869,20:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Potosí - 115,38.578,46.869,20:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Potosí - 115,39.527,46.869,20:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Potosí - 115,39.92,46.869,20:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Potosí - 115,38.877,46.869,20:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Potosí - 115,38.919,46.869,20:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Potosí - 115,40.044,46.869,20:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Potosí - 115,40.665,46.869,20:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Potosí - 115,40.585,46.869,20:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Potosí - 115,40.995,46.869,20:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Potosí - 115,44.596,46.869,20:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Potosí - 115,46.695,46.869,20:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Potosí - 115,46.713,46.869,20:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Potosí - 115,46.114,46.869,20:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Potosí - 115,44.529,46.869,20:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Potosí - 115,41.404,46.869,20:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Potosí - 115,39.091,50.949,20:15,2024-09-02,01:00:00
2024-09-02 02:00:00,Potosí - 115,37.777,50.949,20:15,2024-09-02,02:00:00
2024-09-02 03:00:00,Potosí - 115,37.003,50.949,20:15,2024-09-02,03:00:00
2024-09-02 04:00:00,Potosí - 115,36.508,50.949,20:15,2024-09-02,04:00:00
2024-09-02 05:00:00,Potosí - 115,36.401,50.949,20:15,2024-09-02,05:00:00
2024-09-02 06:00:00,Potosí - 115,36.517,50.949,20:15,2024-09-02,06:00:00
2024-09-02 07:00:00,Potosí - 115,36.902,50.949,20:15,2024-09-02,07:00:00
2024-09-02 08:00:00,Potosí - 115,39.07,50.949,20:15,2024-09-02,08:00:00
2024-09-02 09:00:00,Potosí - 115,39.441,50.949,20:15,2024-09-02,09:00:00
2024-09-02 10:00:00,Potosí - 115,42.053,50.949,20:15,2024-09-02,10:00:00
2024-09-02 11:00:00,Potosí - 115,43.231,50.949,20:15,2024-09-02,11:00:00
2024-09-02 12:00:00,Potosí - 115,44.421,50.949,20:15,2024-09-02,12:00:00
2024-09-02 13:00:00,Potosí - 115,43.498,50.949,20:15,2024-09-02,13:00:00
2024-09-02 14:00:00,Potosí - 115,43.499,50.949,20:15,2024-09-02,14:00:00
2024-09-02 15:00:00,Potosí - 115,43.914,50.949,20:15,2024-09-02,15:00:00
2024-09-02 16:00:00,Potosí - 115,43.666,50.949,20:15,2024-09-02,16:00:00
2024-09-02 17:00:00,Potosí - 115,43.854,50.949,20:15,2024-09-02,17:00:00
2024-09-02 18:00:00,Potosí - 115,45.598,50.949,20:15,2024-09-02,18:00:00
2024-09-02 19:00:00,Potosí - 115,49.595,50.949,20:15,2024-09-02,19:00:00
2024-09-02 20:00:00,Potosí - 115,50.807,50.949,20:15,2024-09-02,20:00:00
2024-09-02 21:00:00,Potosí - 115,50.694,50.949,20:15,2024-09-02,21:00:00
2024-09-02 22:00:00,Potosí - 115,49.767,50.949,20:15,2024-09-02,22:00:00
2024-09-02 23:00:00,Potosí - 115,47.636,50.949,20:15,2024-09-02,23:00:00
2024-09-03 00:00:00,Potosí - 115,44.771,50.949,20:15,2024-09-03,00:00:00
2024-09-03 01:00:00,Potosí - 115,42.875,49,20:30,2024-09-03,01:00:00
2024-09-03 02:00:00,Potosí - 115,42.453,49,20:30,2024-09-03,02:00:00
2024-09-03 03:00:00,Potosí - 115,41.555,49,20:30,2024-09-03,03:00:00
2024-09-03 04:00:00,Potosí - 115,41.144,49,20:30,2024-09-03,04:00:00
2024-09-03 05:00:00,Potosí - 115,41.222,49,20:30,2024-09-03,05:00:00
2024-09-03 06:00:00,Potosí - 115,41.235,49,20:30,2024-09-03,06:00:00
2024-09-03 07:00:00,Potosí - 115,40.548,49,20:30,2024-09-03,07:00:00
2024-09-03 08:00:00,Potosí - 115,40.909,49,20:30,2024-09-03,08:00:00
2024-09-03 09:00:00,Potosí - 115,41.478,49,20:30,2024-09-03,09:00:00
2024-09-03 10:00:00,Potosí - 115,43.045,49,20:30,2024-09-03,10:00:00
2024-09-03 11:00:00,Potosí - 115,44.005,49,20:30,2024-09-03,11:00:00
2024-09-03 12:00:00,Potosí - 115,44.578,49,20:30,2024-09-03,12:00:00
2024-09-03 13:00:00,Potosí - 115,44.072,49,20:30,2024-09-03,13:00:00
2024-09-03 14:00:00,Potosí - 115,44.044,49,20:30,2024-09-03,14:00:00
2024-09-03 15:00:00,Potosí - 115,45.146,49,20:30,2024-09-03,15:00:00
2024-09-03 16:00:00,Potosí - 115,45.112,49,20:30,2024-09-03,16:00:00
2024-09-03 17:00:00,Potosí - 115,43.683,49,20:30,2024-09-03,17:00:00
2024-09-03 18:00:00,Potosí - 115,43.805,49,20:30,2024-09-03,18:00:00
2024-09-03 19:00:00,Potosí - 115,46.137,49,20:30,2024-09-03,19:00:00
2024-09-03 20:00:00,Potosí - 115,48.724,49,20:30,2024-09-03,20:00:00
2024-09-03 21:00:00,Potosí - 115,48.784,49,20:30,2024-09-03,21:00:00
2024-09-03 22:00:00,Potosí - 115,47.801,49,20:30,2024-09-03,22:00:00
2024-09-03 23:00:00,Potosí - 115,46.312,49,20:30,2024-09-03,23:00:00
2024-09-04 00:00:00,Potosí - 115,44.199,49,20:30,2024-09-04,00:00:00
2024-09-04 01:00:00,Potosí - 115,42.331,50.949,19:30,2024-09-04,01:00:00
2024-09-04 02:00:00,Potosí - 115,41.035,50.949,19:30,2024-09-04,02:00:00
2024-09-04 03:00:00,Potosí - 115,40.03,50.949,19:30,2024-09-04,03:00:00
2024-09-04 04:00:00,Potosí - 115,39.924,50.949,19:30,2024-09-04,04:00:00
2024-09-04 05:00:00,Potosí - 115,40.232,50.949,19:30,2024-09-04,05:00:00
2024-09-04 06:00:00,Potosí - 115,40.8,50.949,19:30,2024-09-04,06:00:00
2024-09-04 07:00:00,Potosí - 115,40.553,50.949,19:30,2024-09-04,07:00:00
2024-09-04 08:00:00,Potosí - 115,41.13,50.949,19:30,2024-09-04,08:00:00
2024-09-04 09:00:00,Potosí - 115,41.478,50.949,19:30,2024-09-04,09:00:00
2024-09-04 10:00:00,Potosí - 115,42.258,50.949,19:30,2024-09-04,10:00:00
2024-09-04 11:00:00,Potosí - 115,43.313,50.949,19:30,2024-09-04,11:00:00
2024-09-04 12:00:00,Potosí - 115,43.897,50.949,19:30,2024-09-04,12:00:00
2024-09-04 13:00:00,Potosí - 115,42.377,50.949,19:30,2024-09-04,13:00:00
2024-09-04 14:00:00,Potosí - 115,41.793,50.949,19:30,2024-09-04,14:00:00
2024-09-04 15:00:00,Potosí - 115,43.452,50.949,19:30,2024-09-04,15:00:00
2024-09-04 16:00:00,Potosí - 115,44.914,50.949,19:30,2024-09-04,16:00:00
2024-09-04 17:00:00,Potosí - 115,44.101,50.949,19:30,2024-09-04,17:00:00
2024-09-04 18:00:00,Potosí - 115,44.923,50.949,19:30,2024-09-04,18:00:00
2024-09-04 19:00:00,Potosí - 115,47.839,50.949,19:30,2024-09-04,19:00:00
2024-09-04 20:00:00,Potosí - 115,50.729,50.949,19:30,2024-09-04,20:00:00
2024-09-04 21:00:00,Potosí - 115,50.378,50.949,19:30,2024-09-04,21:00:00
2024-09-04 22:00:00,Potosí - 115,49.188,50.949,19:30,2024-09-04,22:00:00
2024-09-04 23:00:00,Potosí - 115,46.867,50.949,19:30,2024-09-04,23:00:00
