Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Sucre,13.689,22.717,19:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Sucre,12.316,22.717,19:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Sucre,11.507,22.717,19:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Sucre,11.135,22.717,19:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Sucre,11.093,22.717,19:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Sucre,11.5,22.717,19:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Sucre,10.299,22.717,19:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Sucre,10.004,22.717,19:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Sucre,11.362,22.717,19:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Sucre,12.862,22.717,19:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Sucre,13.843,22.717,19:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Sucre,14.277,22.717,19:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Sucre,14.262,22.717,19:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Sucre,13.924,22.717,19:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Sucre,14.565,22.717,19:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Sucre,15.38,22.717,19:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Sucre,15.667,22.717,19:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Sucre,16.689,22.717,19:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Sucre,20.908,22.717,19:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Sucre,22.637,22.717,19:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Sucre,22.236,22.717,19:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Sucre,20.885,22.717,19:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Sucre,18.406,22.717,19:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Sucre,15.409,22.717,19:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Sucre,13.074,22.733,19:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Sucre,11.683,22.733,19:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Sucre,11.079,22.733,19:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Sucre,10.671,22.733,19:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Sucre,11.159,22.733,19:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Sucre,12.26,22.733,19:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Sucre,15.129,22.733,19:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Sucre,16.01,22.733,19:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Sucre,16.632,22.733,19:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Sucre,17.372,22.733,19:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Sucre,17.901,22.733,19:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Sucre,18.967,22.733,19:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Sucre,18.266,22.733,19:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Sucre,17.294,22.733,19:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Sucre,17.625,22.733,19:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Sucre,18.63,22.733,19:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Sucre,18.85,22.733,19:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Sucre,18.382,22.733,19:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Sucre,21.074,22.733,19:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Sucre,22.496,22.733,19:00,2024-09-02,20:00:00
