Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Uyuni,2.0,3.11,21:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Uyuni,1.823,3.11,21:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Uyuni,1.73,3.11,21:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Uyuni,1.703,3.11,21:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Uyuni,1.625,3.11,21:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Uyuni,1.62,3.11,21:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Uyuni,1.42,3.11,21:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Uyuni,1.358,3.11,21:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Uyuni,1.72,3.11,21:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Uyuni,1.918,3.11,21:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Uyuni,1.993,3.11,21:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Uyuni,2.003,3.11,21:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Uyuni,1.995,3.11,21:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Uyuni,2.0,3.11,21:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Uyuni,2.413,3.11,21:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Uyuni,2.568,3.11,21:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Uyuni,2.613,3.11,21:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Uyuni,2.355,3.11,21:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Uyuni,2.628,3.11,21:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Uyuni,2.945,3.11,21:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Uyuni,3.025,3.11,21:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Uyuni,2.955,3.11,21:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Uyuni,2.393,3.11,21:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Uyuni,2.015,3.11,21:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Uyuni,1.723,3.34,20:45,2024-09-02,01:00:00
2024-09-02 02:00:00,Uyuni,1.553,3.34,20:45,2024-09-02,02:00:00
2024-09-02 03:00:00,Uyuni,1.49,3.34,20:45,2024-09-02,03:00:00
2024-09-02 04:00:00,Uyuni,1.413,3.34,20:45,2024-09-02,04:00:00
2024-09-02 05:00:00,Uyuni,1.405,3.34,20:45,2024-09-02,05:00:00
2024-09-02 06:00:00,Uyuni,1.423,3.34,20:45,2024-09-02,06:00:00
2024-09-02 07:00:00,Uyuni,1.508,3.34,20:45,2024-09-02,07:00:00
2024-09-02 08:00:00,Uyuni,1.995,3.34,20:45,2024-09-02,08:00:00
2024-09-02 09:00:00,Uyuni,1.798,3.34,20:45,2024-09-02,09:00:00
2024-09-02 10:00:00,Uyuni,1.818,3.34,20:45,2024-09-02,10:00:00
2024-09-02 11:00:00,Uyuni,1.84,3.34,20:45,2024-09-02,11:00:00
2024-09-02 12:00:00,Uyuni,1.863,3.34,20:45,2024-09-02,12:00:00
2024-09-02 13:00:00,Uyuni,1.875,3.34,20:45,2024-09-02,13:00:00
2024-09-02 14:00:00,Uyuni,1.868,3.34,20:45,2024-09-02,14:00:00
2024-09-02 15:00:00,Uyuni,2.12,3.34,20:45,2024-09-02,15:00:00
2024-09-02 16:00:00,Uyuni,2.253,3.34,20:45,2024-09-02,16:00:00
2024-09-02 17:00:00,Uyuni,2.243,3.34,20:45,2024-09-02,17:00:00
2024-09-02 18:00:00,Uyuni,2.268,3.34,20:45,2024-09-02,18:00:00
2024-09-02 19:00:00,Uyuni,2.61,3.34,20:45,2024-09-02,19:00:00
2024-09-02 20:00:00,Uyuni,3.12,3.34,20:45,2024-09-02,20:00:00
2024-09-02 21:00:00,Uyuni,3.245,3.34,20:45,2024-09-02,21:00:00
2024-09-02 22:00:00,Uyuni,3.15,3.34,20:45,2024-09-02,22:00:00
2024-09-02 23:00:00,Uyuni,2.853,3.34,20:45,2024-09-02,23:00:00
2024-09-03 00:00:00,Uyuni,2.373,3.34,20:45,2024-09-03,00:00:00
2024-09-03 01:00:00,Uyuni,1.88,3.28,19:30,2024-09-03,01:00:00
2024-09-03 02:00:00,Uyuni,1.75,3.28,19:30,2024-09-03,02:00:00
2024-09-03 03:00:00,Uyuni,1.678,3.28,19:30,2024-09-03,03:00:00
2024-09-03 04:00:00,Uyuni,1.63,3.28,19:30,2024-09-03,04:00:00
2024-09-03 05:00:00,Uyuni,1.6,3.28,19:30,2024-09-03,05:00:00
2024-09-03 06:00:00,Uyuni,1.628,3.28,19:30,2024-09-03,06:00:00
2024-09-03 07:00:00,Uyuni,1.643,3.28,19:30,2024-09-03,07:00:00
2024-09-03 08:00:00,Uyuni,1.913,3.28,19:30,2024-09-03,08:00:00
2024-09-03 09:00:00,Uyuni,1.955,3.28,19:30,2024-09-03,09:00:00
2024-09-03 10:00:00,Uyuni,2.065,3.28,19:30,2024-09-03,10:00:00
2024-09-03 11:00:00,Uyuni,2.325,3.28,19:30,2024-09-03,11:00:00
2024-09-03 12:00:00,Uyuni,2.343,3.28,19:30,2024-09-03,12:00:00
2024-09-03 13:00:00,Uyuni,2.153,3.28,19:30,2024-09-03,13:00:00
2024-09-03 14:00:00,Uyuni,1.918,3.28,19:30,2024-09-03,14:00:00
2024-09-03 15:00:00,Uyuni,2.063,3.28,19:30,2024-09-03,15:00:00
2024-09-03 16:00:00,Uyuni,2.203,3.28,19:30,2024-09-03,16:00:00
2024-09-03 17:00:00,Uyuni,2.173,3.28,19:30,2024-09-03,17:00:00
2024-09-03 18:00:00,Uyuni,2.215,3.28,19:30,2024-09-03,18:00:00
2024-09-03 19:00:00,Uyuni,2.673,3.28,19:30,2024-09-03,19:00:00
2024-09-03 20:00:00,Uyuni,3.245,3.28,19:30,2024-09-03,20:00:00
2024-09-03 21:00:00,Uyuni,3.23,3.28,19:30,2024-09-03,21:00:00
2024-09-03 22:00:00,Uyuni,3.07,3.28,19:30,2024-09-03,22:00:00
2024-09-03 23:00:00,Uyuni,2.705,3.28,19:30,2024-09-03,23:00:00
2024-09-04 00:00:00,Uyuni,2.278,3.28,19:30,2024-09-04,00:00:00
2024-09-04 01:00:00,Uyuni,2.01,3.2,19:45,2024-09-04,01:00:00
2024-09-04 02:00:00,Uyuni,1.828,3.2,19:45,2024-09-04,02:00:00
2024-09-04 03:00:00,Uyuni,1.783,3.2,19:45,2024-09-04,03:00:00
2024-09-04 04:00:00,Uyuni,1.755,3.2,19:45,2024-09-04,04:00:00
2024-09-04 05:00:00,Uyuni,1.688,3.2,19:45,2024-09-04,05:00:00
2024-09-04 06:00:00,Uyuni,1.73,3.2,19:45,2024-09-04,06:00:00
2024-09-04 07:00:00,Uyuni,1.71,3.2,19:45,2024-09-04,07:00:00
2024-09-04 08:00:00,Uyuni,2.048,3.2,19:45,2024-09-04,08:00:00
2024-09-04 09:00:00,Uyuni,1.97,3.2,19:45,2024-09-04,09:00:00
2024-09-04 10:00:00,Uyuni,1.98,3.2,19:45,2024-09-04,10:00:00
2024-09-04 11:00:00,Uyuni,2.0,3.2,19:45,2024-09-04,11:00:00
2024-09-04 12:00:00,Uyuni,2.0,3.2,19:45,2024-09-04,12:00:00
2024-09-04 13:00:00,Uyuni,1.868,3.2,19:45,2024-09-04,13:00:00
2024-09-04 14:00:00,Uyuni,1.863,3.2,19:45,2024-09-04,14:00:00
2024-09-04 15:00:00,Uyuni,2.078,3.2,19:45,2024-09-04,15:00:00
2024-09-04 16:00:00,Uyuni,2.223,3.2,19:45,2024-09-04,16:00:00
2024-09-04 17:00:00,Uyuni,2.173,3.2,19:45,2024-09-04,17:00:00
2024-09-04 18:00:00,Uyuni,2.24,3.2,19:45,2024-09-04,18:00:00
2024-09-04 19:00:00,Uyuni,2.655,3.2,19:45,2024-09-04,19:00:00
2024-09-04 20:00:00,Uyuni,3.16,3.2,19:45,2024-09-04,20:00:00
2024-09-04 21:00:00,Uyuni,3.158,3.2,19:45,2024-09-04,21:00:00
2024-09-04 22:00:00,Uyuni,3.03,3.2,19:45,2024-09-04,22:00:00
2024-09-04 23:00:00,Uyuni,2.705,3.2,19:45,2024-09-04,23:00:00
2024-09-05 00:00:00,Uyuni,2.255,3.2,19:45,2024-09-05,00:00:00
2024-09-05 01:00:00,Uyuni,1.978,3.39,21:30,2024-09-05,01:00:00
2024-09-05 02:00:00,Uyuni,1.815,3.39,21:30,2024-09-05,02:00:00
2024-09-05 03:00:00,Uyuni,1.72,3.39,21:30,2024-09-05,03:00:00
2024-09-05 04:00:00,Uyuni,1.643,3.39,21:30,2024-09-05,04:00:00
2024-09-05 05:00:00,Uyuni,1.7,3.39,21:30,2024-09-05,05:00:00
2024-09-05 06:00:00,Uyuni,1.903,3.39,21:30,2024-09-05,06:00:00
2024-09-05 07:00:00,Uyuni,1.7,3.39,21:30,2024-09-05,07:00:00
2024-09-05 08:00:00,Uyuni,2.058,3.39,21:30,2024-09-05,08:00:00
2024-09-05 09:00:00,Uyuni,2.058,3.39,21:30,2024-09-05,09:00:00
2024-09-05 10:00:00,Uyuni,2.093,3.39,21:30,2024-09-05,10:00:00
2024-09-05 11:00:00,Uyuni,2.083,3.39,21:30,2024-09-05,11:00:00
2024-09-05 12:00:00,Uyuni,1.985,3.39,21:30,2024-09-05,12:00:00
2024-09-05 13:00:00,Uyuni,1.87,3.39,21:30,2024-09-05,13:00:00
2024-09-05 14:00:00,Uyuni,1.883,3.39,21:30,2024-09-05,14:00:00
2024-09-05 15:00:00,Uyuni,2.123,3.39,21:30,2024-09-05,15:00:00
2024-09-05 16:00:00,Uyuni,2.215,3.39,21:30,2024-09-05,16:00:00
2024-09-05 17:00:00,Uyuni,2.2,3.39,21:30,2024-09-05,17:00:00
2024-09-05 18:00:00,Uyuni,2.23,3.39,21:30,2024-09-05,18:00:00
2024-09-05 19:00:00,Uyuni,2.638,3.39,21:30,2024-09-05,19:00:00
2024-09-05 20:00:00,Uyuni,3.22,3.39,21:30,2024-09-05,20:00:00
2024-09-05 21:00:00,Uyuni,3.18,3.39,21:30,2024-09-05,21:00:00
2024-09-05 22:00:00,Uyuni,3.295,3.39,21:30,2024-09-05,22:00:00
2024-09-05 23:00:00,Uyuni,2.975,3.39,21:30,2024-09-05,23:00:00
2024-09-06 00:00:00,Uyuni,2.553,3.39,21:30,2024-09-06,00:00:00
2024-09-06 01:00:00,Uyuni,2.095,3.32,21:00,2024-09-06,01:00:00
2024-09-06 02:00:00,Uyuni,1.84,3.32,21:00,2024-09-06,02:00:00
2024-09-06 03:00:00,Uyuni,1.74,3.32,21:00,2024-09-06,03:00:00
2024-09-06 04:00:00,Uyuni,1.71,3.32,21:00,2024-09-06,04:00:00
2024-09-06 05:00:00,Uyuni,1.638,3.32,21:00,2024-09-06,05:00:00
2024-09-06 06:00:00,Uyuni,1.67,3.32,21:00,2024-09-06,06:00:00
2024-09-06 07:00:00,Uyuni,1.698,3.32,21:00,2024-09-06,07:00:00
2024-09-06 08:00:00,Uyuni,1.958,3.32,21:00,2024-09-06,08:00:00
2024-09-06 09:00:00,Uyuni,1.988,3.32,21:00,2024-09-06,09:00:00
2024-09-06 10:00:00,Uyuni,2.17,3.32,21:00,2024-09-06,10:00:00
2024-09-06 11:00:00,Uyuni,2.56,3.32,21:00,2024-09-06,11:00:00
2024-09-06 12:00:00,Uyuni,2.768,3.32,21:00,2024-09-06,12:00:00
2024-09-06 13:00:00,Uyuni,2.61,3.32,21:00,2024-09-06,13:00:00
2024-09-06 14:00:00,Uyuni,2.325,3.32,21:00,2024-09-06,14:00:00
2024-09-06 15:00:00,Uyuni,2.535,3.32,21:00,2024-09-06,15:00:00
2024-09-06 16:00:00,Uyuni,2.613,3.32,21:00,2024-09-06,16:00:00
2024-09-06 17:00:00,Uyuni,2.355,3.32,21:00,2024-09-06,17:00:00
2024-09-06 18:00:00,Uyuni,2.293,3.32,21:00,2024-09-06,18:00:00
2024-09-06 19:00:00,Uyuni,2.618,3.32,21:00,2024-09-06,19:00:00
2024-09-06 20:00:00,Uyuni,3.105,3.32,21:00,2024-09-06,20:00:00
2024-09-06 21:00:00,Uyuni,3.18,3.32,21:00,2024-09-06,21:00:00
2024-09-06 22:00:00,Uyuni,3.203,3.32,21:00,2024-09-06,22:00:00
2024-09-06 23:00:00,Uyuni,2.673,3.32,21:00,2024-09-06,23:00:00
2024-09-07 00:00:00,Uyuni,2.265,3.32,21:00,2024-09-07,00:00:00
2024-09-07 01:00:00,Uyuni,1.958,3.34,21:00,2024-09-07,01:00:00
2024-09-07 02:00:00,Uyuni,2.013,3.34,21:00,2024-09-07,02:00:00
2024-09-07 03:00:00,Uyuni,1.743,3.34,21:00,2024-09-07,03:00:00
2024-09-07 04:00:00,Uyuni,1.69,3.34,21:00,2024-09-07,04:00:00
2024-09-07 05:00:00,Uyuni,1.613,3.34,21:00,2024-09-07,05:00:00
2024-09-07 06:00:00,Uyuni,1.663,3.34,21:00,2024-09-07,06:00:00
2024-09-07 07:00:00,Uyuni,1.585,3.34,21:00,2024-09-07,07:00:00
2024-09-07 08:00:00,Uyuni,1.65,3.34,21:00,2024-09-07,08:00:00
2024-09-07 09:00:00,Uyuni,1.925,3.34,21:00,2024-09-07,09:00:00
2024-09-07 10:00:00,Uyuni,2.108,3.34,21:00,2024-09-07,10:00:00
2024-09-07 11:00:00,Uyuni,2.23,3.34,21:00,2024-09-07,11:00:00
2024-09-07 12:00:00,Uyuni,2.25,3.34,21:00,2024-09-07,12:00:00
2024-09-07 13:00:00,Uyuni,2.165,3.34,21:00,2024-09-07,13:00:00
2024-09-07 14:00:00,Uyuni,2.085,3.34,21:00,2024-09-07,14:00:00
2024-09-07 15:00:00,Uyuni,2.313,3.34,21:00,2024-09-07,15:00:00
2024-09-07 16:00:00,Uyuni,2.485,3.34,21:00,2024-09-07,16:00:00
2024-09-07 17:00:00,Uyuni,2.338,3.34,21:00,2024-09-07,17:00:00
