Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Yapacani,6.699,8.553,19:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Yapacani,6.422,8.553,19:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Yapacani,6.229,8.553,19:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Yapacani,6.112,8.553,19:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Yapacani,6.127,8.553,19:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Yapacani,6.265,8.553,19:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Yapacani,5.928,8.553,19:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Yapacani,5.515,8.553,19:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Yapacani,5.602,8.553,19:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Yapacani,5.618,8.553,19:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Yapacani,5.593,8.553,19:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Yapacani,5.606,8.553,19:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Yapacani,5.735,8.553,19:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Yapacani,5.785,8.553,19:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Yapacani,5.954,8.553,19:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Yapacani,6.223,8.553,19:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Yapacani,6.435,8.553,19:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Yapacani,6.464,8.553,19:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Yapacani,7.925,8.553,19:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Yapacani,8.482,8.553,19:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Yapacani,8.225,8.553,19:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Yapacani,7.8,8.553,19:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Yapacani,7.192,8.553,19:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Yapacani,6.551,8.553,19:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Yapacani,6.089,10.297,15:45,2024-09-02,01:00:00
2024-09-02 02:00:00,Yapacani,5.885,10.297,15:45,2024-09-02,02:00:00
2024-09-02 03:00:00,Yapacani,5.764,10.297,15:45,2024-09-02,03:00:00
2024-09-02 04:00:00,Yapacani,5.721,10.297,15:45,2024-09-02,04:00:00
2024-09-02 05:00:00,Yapacani,5.843,10.297,15:45,2024-09-02,05:00:00
2024-09-02 06:00:00,Yapacani,6.122,10.297,15:45,2024-09-02,06:00:00
2024-09-02 07:00:00,Yapacani,6.228,10.297,15:45,2024-09-02,07:00:00
2024-09-02 08:00:00,Yapacani,6.471,10.297,15:45,2024-09-02,08:00:00
2024-09-02 09:00:00,Yapacani,7.66,10.297,15:45,2024-09-02,09:00:00
2024-09-02 10:00:00,Yapacani,8.523,10.297,15:45,2024-09-02,10:00:00
2024-09-02 11:00:00,Yapacani,8.731,10.297,15:45,2024-09-02,11:00:00
2024-09-02 12:00:00,Yapacani,8.686,10.297,15:45,2024-09-02,12:00:00
2024-09-02 13:00:00,Yapacani,8.222,10.297,15:45,2024-09-02,13:00:00
2024-09-02 14:00:00,Yapacani,8.793,10.297,15:45,2024-09-02,14:00:00
2024-09-02 15:00:00,Yapacani,9.872,10.297,15:45,2024-09-02,15:00:00
2024-09-02 16:00:00,Yapacani,10.195,10.297,15:45,2024-09-02,16:00:00
2024-09-02 17:00:00,Yapacani,10.099,10.297,15:45,2024-09-02,17:00:00
2024-09-02 18:00:00,Yapacani,8.842,10.297,15:45,2024-09-02,18:00:00
2024-09-02 19:00:00,Yapacani,9.616,10.297,15:45,2024-09-02,19:00:00
2024-09-02 20:00:00,Yapacani,9.821,10.297,15:45,2024-09-02,20:00:00
2024-09-02 21:00:00,Yapacani,10.099,10.297,15:45,2024-09-02,21:00:00
2024-09-02 22:00:00,Yapacani,9.623,10.297,15:45,2024-09-02,22:00:00
2024-09-02 23:00:00,Yapacani,8.583,10.297,15:45,2024-09-02,23:00:00
2024-09-03 00:00:00,Yapacani,7.381,10.297,15:45,2024-09-03,00:00:00
2024-09-03 01:00:00,Yapacani,6.785,10.789,15:15,2024-09-03,01:00:00
2024-09-03 02:00:00,Yapacani,6.484,10.789,15:15,2024-09-03,02:00:00
2024-09-03 03:00:00,Yapacani,6.394,10.789,15:15,2024-09-03,03:00:00
2024-09-03 04:00:00,Yapacani,6.277,10.789,15:15,2024-09-03,04:00:00
2024-09-03 05:00:00,Yapacani,6.366,10.789,15:15,2024-09-03,05:00:00
2024-09-03 06:00:00,Yapacani,6.752,10.789,15:15,2024-09-03,06:00:00
2024-09-03 07:00:00,Yapacani,6.885,10.789,15:15,2024-09-03,07:00:00
2024-09-03 08:00:00,Yapacani,7.185,10.789,15:15,2024-09-03,08:00:00
2024-09-03 09:00:00,Yapacani,8.476,10.789,15:15,2024-09-03,09:00:00
2024-09-03 10:00:00,Yapacani,9.184,10.789,15:15,2024-09-03,10:00:00
2024-09-03 11:00:00,Yapacani,9.415,10.789,15:15,2024-09-03,11:00:00
2024-09-03 12:00:00,Yapacani,9.573,10.789,15:15,2024-09-03,12:00:00
2024-09-03 13:00:00,Yapacani,8.419,10.789,15:15,2024-09-03,13:00:00
2024-09-03 14:00:00,Yapacani,9.146,10.789,15:15,2024-09-03,14:00:00
2024-09-03 15:00:00,Yapacani,10.569,10.789,15:15,2024-09-03,15:00:00
2024-09-03 16:00:00,Yapacani,10.656,10.789,15:15,2024-09-03,16:00:00
2024-09-03 17:00:00,Yapacani,10.302,10.789,15:15,2024-09-03,17:00:00
2024-09-03 18:00:00,Yapacani,9.461,10.789,15:15,2024-09-03,18:00:00
2024-09-03 19:00:00,Yapacani,10.142,10.789,15:15,2024-09-03,19:00:00
2024-09-03 20:00:00,Yapacani,10.334,10.789,15:15,2024-09-03,20:00:00
2024-09-03 21:00:00,Yapacani,10.413,10.789,15:15,2024-09-03,21:00:00
2024-09-03 22:00:00,Yapacani,10.1,10.789,15:15,2024-09-03,22:00:00
2024-09-03 23:00:00,Yapacani,9.351,10.789,15:15,2024-09-03,23:00:00
2024-09-04 00:00:00,Yapacani,8.166,10.789,15:15,2024-09-04,00:00:00
2024-09-04 01:00:00,Yapacani,7.255,11.46,16:00,2024-09-04,01:00:00
2024-09-04 02:00:00,Yapacani,6.916,11.46,16:00,2024-09-04,02:00:00
2024-09-04 03:00:00,Yapacani,6.743,11.46,16:00,2024-09-04,03:00:00
2024-09-04 04:00:00,Yapacani,6.662,11.46,16:00,2024-09-04,04:00:00
2024-09-04 05:00:00,Yapacani,6.789,11.46,16:00,2024-09-04,05:00:00
2024-09-04 06:00:00,Yapacani,7.038,11.46,16:00,2024-09-04,06:00:00
2024-09-04 07:00:00,Yapacani,6.994,11.46,16:00,2024-09-04,07:00:00
2024-09-04 08:00:00,Yapacani,7.414,11.46,16:00,2024-09-04,08:00:00
2024-09-04 09:00:00,Yapacani,8.872,11.46,16:00,2024-09-04,09:00:00
2024-09-04 10:00:00,Yapacani,9.128,11.46,16:00,2024-09-04,10:00:00
2024-09-04 11:00:00,Yapacani,9.454,11.46,16:00,2024-09-04,11:00:00
2024-09-04 12:00:00,Yapacani,9.863,11.46,16:00,2024-09-04,12:00:00
2024-09-04 13:00:00,Yapacani,9.069,11.46,16:00,2024-09-04,13:00:00
2024-09-04 14:00:00,Yapacani,9.697,11.46,16:00,2024-09-04,14:00:00
2024-09-04 15:00:00,Yapacani,10.866,11.46,16:00,2024-09-04,15:00:00
2024-09-04 16:00:00,Yapacani,11.336,11.46,16:00,2024-09-04,16:00:00
2024-09-04 17:00:00,Yapacani,11.323,11.46,16:00,2024-09-04,17:00:00
2024-09-04 18:00:00,Yapacani,10.186,11.46,16:00,2024-09-04,18:00:00
2024-09-04 19:00:00,Yapacani,10.667,11.46,16:00,2024-09-04,19:00:00
2024-09-04 20:00:00,Yapacani,10.746,11.46,16:00,2024-09-04,20:00:00
2024-09-04 21:00:00,Yapacani,10.763,11.46,16:00,2024-09-04,21:00:00
2024-09-04 22:00:00,Yapacani,10.484,11.46,16:00,2024-09-04,22:00:00
2024-09-04 23:00:00,Yapacani,9.883,11.46,16:00,2024-09-04,23:00:00
2024-09-05 00:00:00,Yapacani,8.515,11.46,16:00,2024-09-05,00:00:00
2024-09-05 01:00:00,Yapacani,7.415,10.937,16:00,2024-09-05,01:00:00
2024-09-05 02:00:00,Yapacani,7.062,10.937,16:00,2024-09-05,02:00:00
2024-09-05 03:00:00,Yapacani,6.832,10.937,16:00,2024-09-05,03:00:00
2024-09-05 04:00:00,Yapacani,6.759,10.937,16:00,2024-09-05,04:00:00
2024-09-05 05:00:00,Yapacani,6.824,10.937,16:00,2024-09-05,05:00:00
2024-09-05 06:00:00,Yapacani,7.153,10.937,16:00,2024-09-05,06:00:00
2024-09-05 07:00:00,Yapacani,7.525,10.937,16:00,2024-09-05,07:00:00
2024-09-05 08:00:00,Yapacani,7.858,10.937,16:00,2024-09-05,08:00:00
2024-09-05 09:00:00,Yapacani,9.225,10.937,16:00,2024-09-05,09:00:00
2024-09-05 10:00:00,Yapacani,9.78,10.937,16:00,2024-09-05,10:00:00
