Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Yucumo,0.534,0.701,19:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Yucumo,0.496,0.701,19:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Yucumo,0.473,0.701,19:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Yucumo,0.458,0.701,19:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Yucumo,0.449,0.701,19:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Yucumo,0.445,0.701,19:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Yucumo,0.431,0.701,19:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Yucumo,0.434,0.701,19:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Yucumo,0.44,0.701,19:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Yucumo,0.452,0.701,19:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Yucumo,0.465,0.701,19:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Yucumo,0.478,0.701,19:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Yucumo,0.47,0.701,19:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Yucumo,0.485,0.701,19:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Yucumo,0.488,0.701,19:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Yucumo,0.497,0.701,19:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Yucumo,0.494,0.701,19:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Yucumo,0.496,0.701,19:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Yucumo,0.595,0.701,19:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Yucumo,0.695,0.701,19:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Yucumo,0.682,0.701,19:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Yucumo,0.638,0.701,19:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Yucumo,0.574,0.701,19:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Yucumo,0.518,0.701,19:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Yucumo,0.468,0.761,19:45,2024-09-02,01:00:00
2024-09-02 02:00:00,Yucumo,0.445,0.761,19:45,2024-09-02,02:00:00
2024-09-02 03:00:00,Yucumo,0.432,0.761,19:45,2024-09-02,03:00:00
2024-09-02 04:00:00,Yucumo,0.42,0.761,19:45,2024-09-02,04:00:00
2024-09-02 05:00:00,Yucumo,0.419,0.761,19:45,2024-09-02,05:00:00
2024-09-02 06:00:00,Yucumo,0.43,0.761,19:45,2024-09-02,06:00:00
2024-09-02 07:00:00,Yucumo,0.428,0.761,19:45,2024-09-02,07:00:00
2024-09-02 08:00:00,Yucumo,0.435,0.761,19:45,2024-09-02,08:00:00
2024-09-02 09:00:00,Yucumo,0.438,0.761,19:45,2024-09-02,09:00:00
2024-09-02 10:00:00,Yucumo,0.465,0.761,19:45,2024-09-02,10:00:00
2024-09-02 11:00:00,Yucumo,0.477,0.761,19:45,2024-09-02,11:00:00
2024-09-02 12:00:00,Yucumo,0.507,0.761,19:45,2024-09-02,12:00:00
2024-09-02 13:00:00,Yucumo,0.499,0.761,19:45,2024-09-02,13:00:00
2024-09-02 14:00:00,Yucumo,0.528,0.761,19:45,2024-09-02,14:00:00
2024-09-02 15:00:00,Yucumo,0.553,0.761,19:45,2024-09-02,15:00:00
2024-09-02 16:00:00,Yucumo,0.594,0.761,19:45,2024-09-02,16:00:00
2024-09-02 17:00:00,Yucumo,0.589,0.761,19:45,2024-09-02,17:00:00
2024-09-02 18:00:00,Yucumo,0.594,0.761,19:45,2024-09-02,18:00:00
2024-09-02 19:00:00,Yucumo,0.636,0.761,19:45,2024-09-02,19:00:00
2024-09-02 20:00:00,Yucumo,0.755,0.761,19:45,2024-09-02,20:00:00
2024-09-02 21:00:00,Yucumo,0.748,0.761,19:45,2024-09-02,21:00:00
2024-09-02 22:00:00,Yucumo,0.695,0.761,19:45,2024-09-02,22:00:00
2024-09-02 23:00:00,Yucumo,0.62,0.761,19:45,2024-09-02,23:00:00
2024-09-03 00:00:00,Yucumo,0.537,0.761,19:45,2024-09-03,00:00:00
2024-09-03 01:00:00,Yucumo,0.476,0.763,19:30,2024-09-03,01:00:00
2024-09-03 02:00:00,Yucumo,0.452,0.763,19:30,2024-09-03,02:00:00
2024-09-03 03:00:00,Yucumo,0.439,0.763,19:30,2024-09-03,03:00:00
2024-09-03 04:00:00,Yucumo,0.429,0.763,19:30,2024-09-03,04:00:00
2024-09-03 05:00:00,Yucumo,0.423,0.763,19:30,2024-09-03,05:00:00
2024-09-03 06:00:00,Yucumo,0.437,0.763,19:30,2024-09-03,06:00:00
2024-09-03 07:00:00,Yucumo,0.432,0.763,19:30,2024-09-03,07:00:00
2024-09-03 08:00:00,Yucumo,0.442,0.763,19:30,2024-09-03,08:00:00
2024-09-03 09:00:00,Yucumo,0.45,0.763,19:30,2024-09-03,09:00:00
2024-09-03 10:00:00,Yucumo,0.477,0.763,19:30,2024-09-03,10:00:00
2024-09-03 11:00:00,Yucumo,0.511,0.763,19:30,2024-09-03,11:00:00
2024-09-03 12:00:00,Yucumo,0.586,0.763,19:30,2024-09-03,12:00:00
2024-09-03 13:00:00,Yucumo,0.537,0.763,19:30,2024-09-03,13:00:00
2024-09-03 14:00:00,Yucumo,0.582,0.763,19:30,2024-09-03,14:00:00
2024-09-03 15:00:00,Yucumo,0.619,0.763,19:30,2024-09-03,15:00:00
2024-09-03 16:00:00,Yucumo,0.642,0.763,19:30,2024-09-03,16:00:00
2024-09-03 17:00:00,Yucumo,0.625,0.763,19:30,2024-09-03,17:00:00
2024-09-03 18:00:00,Yucumo,0.617,0.763,19:30,2024-09-03,18:00:00
2024-09-03 19:00:00,Yucumo,0.683,0.763,19:30,2024-09-03,19:00:00
2024-09-03 20:00:00,Yucumo,0.755,0.763,19:30,2024-09-03,20:00:00
2024-09-03 21:00:00,Yucumo,0.74,0.763,19:30,2024-09-03,21:00:00
2024-09-03 22:00:00,Yucumo,0.717,0.763,19:30,2024-09-03,22:00:00
2024-09-03 23:00:00,Yucumo,0.631,0.763,19:30,2024-09-03,23:00:00
2024-09-04 00:00:00,Yucumo,0.548,0.763,19:30,2024-09-04,00:00:00
2024-09-04 01:00:00,Yucumo,0.495,0.803,19:15,2024-09-04,01:00:00
2024-09-04 02:00:00,Yucumo,0.465,0.803,19:15,2024-09-04,02:00:00
2024-09-04 03:00:00,Yucumo,0.449,0.803,19:15,2024-09-04,03:00:00
2024-09-04 04:00:00,Yucumo,0.436,0.803,19:15,2024-09-04,04:00:00
2024-09-04 05:00:00,Yucumo,0.431,0.803,19:15,2024-09-04,05:00:00
2024-09-04 06:00:00,Yucumo,0.444,0.803,19:15,2024-09-04,06:00:00
2024-09-04 07:00:00,Yucumo,0.445,0.803,19:15,2024-09-04,07:00:00
2024-09-04 08:00:00,Yucumo,0.437,0.803,19:15,2024-09-04,08:00:00
2024-09-04 09:00:00,Yucumo,0.465,0.803,19:15,2024-09-04,09:00:00
